,Uganda_USDUGX,SA_USDSAR,Kenya_USDKES,Tanzania_USDTZS,Zambia_USDZMW,91-day Treasury Bill Yield (Uganda),Bankrate (SA),Interbank rate (Kenya),Treasury bill 91 days (Tanzania),Weighted interbank rate (Zambia),spx returns,usrate
2003-01-31,0.013213922,-0.019349536,-0.020239664,0.026157646,,2.436917126,2.34034144,-0.695151591,1.513246287,,-0.003723014,1.189047619
2003-02-28,0.008569103,-0.050910396,-0.013205523,0.018745154,,2.551330604,2.371637169,0.360663427,1.356091479,,-0.067194824,1.185263158
2003-03-31,0.031800281,-0.01866501,-0.002894415,0.011056549,,2.462099928,2.403764351,0.401734534,1.617268161,,0.010690359,1.150952381
2003-04-30,0.014842915,-0.067671583,-0.020038208,0.009500402,,2.525398011,2.403112668,1.273213579,1.649929274,,0.049996716,1.152380952
2003-05-31,0.010234627,0.028358559,-0.038620092,-0.002516629,,2.748784664,2.440019145,-0.607833086,1.601970274,,0.05032493,1.088095238
2003-06-30,-0.001800946,0.002387011,0.028286511,-0.000816268,,2.983707055,2.463149545,-0.023806052,1.874225094,,0.054102594,0.936190476
2003-07-31,-0.002142845,-0.032014176,0.011201029,0.002734274,,3.098422561,2.47348363,0.11535485,1.954689837,,0.00458623,0.920454545
2003-08-31,0.003069736,-0.016594746,0.018765004,-0.000137974,,2.834801907,2.354809158,-0.236781976,1.871991159,,-0.0030321,0.969047619
2003-09-30,-0.005923959,-0.026084072,0.026675137,0.003294663,,2.740421836,2.271228689,-0.08061927,2.033669003,,0.029778129,0.955238095
2003-10-31,0.001194438,-0.030710863,-0.012602986,-0.000405985,,2.927841938,2.153780458,-0.329812778,2.02003782,,0.018747722,0.941818182
2003-11-30,-0.013414055,-0.061174959,-0.012567753,0.004656525,,3.014229911,2.074140175,0.077908667,1.994866994,,0.010692843,0.952222222
2003-12-31,-0.036473682,0.008629805,-0.008697848,0.007829395,,3.15271903,2.085727657,-0.07151156,2.113521176,,0.028853829,0.914545455
2004-01-31,0.019683487,0.060498905,0.006505905,0.029450466,,3.100537388,2.132426907,0.482589022,2.069116349,,0.04689422,0.9005
2004-02-29,-0.024848035,-0.049281298,0.001616614,0.015513292,,2.724077071,2.07308433,0.44856915,2.036470071,,0.009525062,0.944736842
2004-03-31,0.024459434,-0.018564017,0.012852595,-0.000745871,,2.101762387,2.095008864,0.634366557,2.058533653,,-0.017092963,0.953478261
2004-04-30,-0.008032433,0.004436243,0.007301063,0.004276798,,1.710514913,2.09127483,0.648684122,2.122249634,,0.008063177,0.958095238
2004-05-31,-0.035162221,0.012513423,0.014728369,0.002042975,,1.753019641,2.005074536,0.613111761,2.001180955,,-0.027103123,1.0395
2004-06-30,-0.025962493,-0.053934417,0.001483048,-0.004009066,,1.603133423,1.806711819,0.329304956,1.784152048,,0.026818986,1.288095238
2004-07-31,-0.027695973,-0.034972145,0.010694618,-0.010946887,,1.625788946,1.759610152,0.32940032,1.788597689,,-0.024042924,1.357619048
2004-08-31,-0.016231506,0.060008526,0.007632391,-0.01408805,,1.593895927,1.589494362,0.474867801,1.717069811,,-0.015411115,1.503181818
2004-09-30,0.002940603,-0.000464279,-0.000591477,-0.015791749,,1.521576557,1.442912768,0.535425432,1.711445319,,0.026033234,1.681428571
2004-10-31,-0.00068585,-0.038002364,0.005791298,-0.005678318,,1.456493897,1.399854829,0.641839221,1.70578608,,0.000368475,1.7945
2004-11-30,0.003718782,-0.057883083,0.000923503,-0.0019362,,1.440548866,1.23446404,0.675477508,1.520418698,1.753882258,0.04449263,2.1075
2004-12-31,-0.000865614,-0.031177796,-0.022812074,-0.013683359,,1.463028155,1.187768603,1.210373544,1.466148283,1.866964317,0.025568854,2.222727273
2005-01-31,-0.005456151,0.055025479,-0.024027993,0.042431816,,1.355891677,1.121132006,1.21720059,1.402609302,1.79694773,-0.014957664,2.371
2005-02-28,-0.009814652,-0.023885764,-0.017001261,0.017375271,,1.249639198,1.029615774,1.132966656,1.22943649,1.329681905,0.015304004,2.579473684
2005-03-31,0.007446377,0.030355239,-0.028273961,-0.00340705,,1.088098205,0.94522903,1.078777796,1.071086859,1.013063019,-0.003949507,2.795909091
2005-04-30,0.037823832,0.008460979,0.02942122,-0.001053627,,1.154594923,0.890918688,1.07132833,1.0517005,1.346133135,-0.025834626,2.836666667
2005-05-31,-0.010744539,0.0492682,0.002846069,0.012302163,,1.142907078,0.844545471,1.015204519,1.016571086,1.309538419,0.011826139,2.901904762
2005-06-30,-0.016732252,0.043793822,0.000587832,0.006450843,,1.097613786,0.799992372,0.929319263,0.983669527,1.544340353,0.020147227,3.036363636
2005-07-31,0.014124937,-0.017000293,-0.006222388,0.007337571,,0.961634806,0.717041923,0.855318885,1.146859122,1.669785153,0.016483039,3.2875
2005-08-31,0.036350286,-0.03391227,-0.007088136,-0.001458789,,0.870264909,0.646749265,0.789843342,1.185249426,1.08143227,0.001662726,3.51826087
2005-09-30,0.011926244,-0.009988612,-0.024618174,0.002705913,,0.84073508,0.658117183,0.842753245,1.276198384,1.625819756,0.001342595,3.494285714
2005-10-31,-8.79E-05,0.042974029,-0.000936349,0.006677923,,0.733837327,0.58389718,0.745099454,1.311729918,1.337668982,-0.028085092,3.7925
2005-11-30,-0.008845106,-0.006796433,0.015077999,0.032553395,,0.648249293,0.55053491,0.683222639,1.256297143,1.246579593,0.037384014,3.9745
2005-12-31,-0.0111158,-0.031090427,-0.024949249,-0.021358572,,0.662214368,0.539973359,0.69523458,1.308841533,1.646285115,0.019768119,3.970952381
2006-01-31,0.001806137,-0.049702691,-0.012035251,0.018165531,,0.58717147,0.439251339,0.618725446,1.226322651,0.838129709,0.013107184,4.336
2006-02-28,0.002326621,0.006388013,-0.001006612,0.012980332,,0.515337171,0.3844339,0.577949197,1.181816104,0.323762408,-0.001626174,4.539473684
2006-03-31,-0.000757518,0.019236159,0.002774408,0.02268754,,0.496061017,0.345238127,0.551097298,1.064658901,0.514314457,0.013301163,4.627826087
2006-04-30,0.00425445,-0.027013155,-0.014842068,0.004374178,,0.489077062,0.346225938,0.512184637,0.958268674,0.300240825,0.006506104,4.721578947
2006-05-31,0.008896219,0.06696808,0.014045214,0.017810036,,0.411711225,0.342596036,0.481799386,0.72341746,0.333379381,-0.009400798,4.836363636
2006-06-30,0.011370852,0.086130034,0.021363132,0.007901226,,0.367248297,0.375942784,0.459994373,0.465116023,0.533001427,-0.029004689,4.917727273
2006-07-31,-0.005637818,-0.005852097,-0.002194093,0.015931395,,0.442240712,0.368716795,0.425613329,0.579247072,0.303269596,0.005663856,5.0765
2006-08-31,-0.000755791,0.004941622,-0.010369658,0.027541,,0.476770908,0.413207521,0.422835975,0.64476264,0.049733315,0.021130438,5.090434783
2006-09-30,0.002763597,0.068112549,0.001544826,-0.005931329,,0.601885589,0.457245099,0.454931176,0.814305177,0.474052218,0.023535651,4.93
2006-10-31,-0.010452988,-0.002336941,-0.010066968,-0.023611831,,0.544689428,0.493093608,0.431636567,0.884440356,0.663748788,0.034003438,5.046190476
2006-11-30,-0.01119386,-0.043075154,-0.020124925,0.020344168,,0.550753658,0.483484138,0.427558274,0.684569101,0.355623143,0.01834811,5.073333333
2006-12-31,-0.028353557,-0.021355936,-0.016662715,-0.019431314,,0.688511477,0.525635978,0.448298366,1.062510241,0.392036653,0.019813893,4.973
2007-01-31,0.01218755,0.020628071,0.007784816,0.018676312,,0.739976651,0.537357017,0.422000978,1.122756477,0.500936386,0.005450305,5.105238095
2007-02-28,-0.020848075,-0.002419623,-0.009137392,-0.017998888,,0.670987036,0.514564802,0.40980771,0.890559864,0.563974993,0.014384406,5.163157895
2007-03-31,0.000428388,0.017925837,-0.004762945,-0.020112631,,0.657071124,0.487806806,0.424481402,1.07806135,0.69511375,-0.026542092,5.08
2007-04-30,-0.016031308,-0.036261717,-0.009156375,0.011304953,,0.650992741,0.503374498,0.436468266,1.099277846,0.656187558,0.039506075,5.006666667
2007-05-31,-0.014923285,-0.004106327,-0.02391862,0.003003717,,0.679135949,0.558614794,0.461310194,0.90144582,0.943101495,0.031930619,4.867727273
2007-06-30,-0.043180834,0.014584169,-0.004627773,-0.011310766,,0.74614619,0.644113464,0.483221147,0.978843954,0.901439074,0.002216521,4.741904762
2007-07-31,0.024423774,-0.01722657,0.00565534,0.015327943,,0.700987358,0.595904582,0.432521105,0.954077986,0.745004244,0.004095451,4.960952381
2007-08-31,0.056470119,0.027486895,0.003281136,0.004627278,,0.552352375,0.752077169,0.563691994,1.159215187,1.090014653,-0.044431893,4.316956522
2007-09-30,-0.002800287,-0.027569582,-0.001728712,-0.029781832,,0.694595597,0.850262984,0.631282885,1.308428971,1.255995507,0.028798495,3.994210526
2007-10-31,-0.008730774,-0.052240263,-0.003833183,-0.081224045,,0.654244382,0.898717278,0.617170943,1.330364301,1.070473857,0.028020246,4.002727273
2007-11-30,-0.016918601,0.012001361,-0.024056468,-0.002188233,,0.830917601,1.118145024,0.779112215,1.215384562,1.210953895,-0.050808965,3.3545
2007-12-31,-0.002395561,0.018102521,-0.020296614,0.007772733,,0.971327216,1.228931833,0.852248989,1.171997911,1.220547546,0.010768923,3.0665
2008-01-31,0.004261287,0.031631285,0.070582883,0.006711449,,1.149314392,1.31177714,0.916290732,1.218756601,1.306990151,-0.070333353,2.82
2008-02-29,-0.008327867,0.090748866,0.020749504,-0.00541244,,1.339686726,1.556157461,1.157124176,1.176458828,1.584285212,-0.017480668,2.174
2008-03-31,-0.012716247,0.034351348,-0.090550098,0.035213329,,1.866664793,2.067882984,1.68096404,1.489119527,2.146029238,-0.028394223,1.2835
2008-04-30,0.00186174,-0.041090216,-0.029400463,0.027573415,,1.832720054,2.061700198,1.656477544,1.361740339,2.08471176,0.039840321,1.311818182
